co_org;co_org_dpnd;co_org_rrhh;co_org_dpnd_rrhh;ceco;nb_org;tx_descripcion;abv_org;;
1004;;;;1VG0000000;GERENCIA GENERAL TECNOLOGIA OPERACIONES TELECOM. FIJAS;;GGTO;;
1005;1004;;;1VG1200000;GERENCIA DE OPERACIONES REGIONALES;;GOR;;
1006;1005;;;1VG1900000;GERENCIA REGION CAPITAL;;CAP;;
1007;1005;;;1VG0500000;GERENCIA REGION CENTRAL;;CEN;;
1008;1005;;;1VG0600000;GERENCIA REGION ORIENTAL;;ORI;;
1009;1005;;;1VG0700000;GERENCIA REGION OCCIDENTAL;;OCC;;
1010;1005;;;1VG0800000;GERENCIA REGION CENTRO OCCIDENTAL;;COC;;
1011;1005;;;1VG2200000;GERENCIA REGION LOS ANDES;;AND;;
1012;1004;;;1VG0900000;GERENCIA OPERACIONES CENTRALIZADAS;;GOC;;
1013;1004;;;1VG1300000;GERENCIA GESTION CALIDAD DE DESEMPEÑO;;GGCD;;
1014;1004;;;1VG2300000;GERENCIA PLANIFICACION E INGENIERIA DE OPERACIONES RED;;GPIO;;
1015;1004;;;1VG1100000;GERENCIA ING., DES., Y CONSTRUC. IT/IS;;GIDC IT/IS;;
1016;1004;;;1VG24000000;CENTRO OPERACIONES DE SERV. Y PROYEC. ESPECIALES;;COSPE;;
1017;1005;;;1VG1210000;Gcia Gestión Operativa;;GGO;;
1018;1005;;;1VG1210100;Coordinación Servicios Electrónicos ;;-;;
1019;1006;;;1VG1910000;Gcia. Nodos y Transporte;;-;;
1020;1006;;;1VG1920000;Gcia. Red Miranda;;-;;
1021;1006;;;1VG1920100;Coordinación Miranda I;;-;;
1022;1006;;;1VG1920200;Coordinación Miranda II;;-;;
1023;1006;;;1VG1920300;Coordinación Miranda III;;-;;
1024;1006;;;1VG1930000;Gcia. Red Capital/Vargas;;-;;
1025;1006;;;1VG1930100;Coordinación Capital I;;-;;
1026;1006;;;1VG1930200;Coordinación Capital II;;-;;
1027;1006;;;1VG1930300;Coordicación Vargas;;-;;
1028;1006;;;1VG1940000;Coordinación Proyectos Red de Acceso;;-;;
1029;1007;;;1VG0500003;Gcia. Red Estado Apure/Amazonas;;-;;
1030;1007;;;1VG0500004;Gcia. Operaciones Red Estado Aragua;;-;;
1031;1007;;;1VG0500007;Gcia. Operaciones Red Estado Carabobo;;-;;
1032;1007;;;1VG0500012;Gcia. Operaciones Red Estado Guárico;;-;;
1033;1007;;;1VG0500100;Coordinación Proyectos Red de Acceso;;-;;
1034;1008;;;1VG0600002;Gcia. Red Estado Anzoátegui;;-;;
1035;1008;;;1VG0600006;Gcia. Red Estado Bolívar Delta Am.;;-;;
1036;1008;;;1VG0600016;Gcia. Red Estado Monagas;;-;;
1037;1008;;;1VG0600017;Gcia. Red Estado Nueva Esparta;;-;;
